mapping, replan, sfc, mpc, df, 
1.04233, 0.000222, 0.006093, 2.51615, 0.009926, 
0, 0.00026, 0.008482, 1.77224, 0.006185, 
0, 0.000315, 0.005222, 1.71137, 0.00624, 
0, 0.000204, 0.005944, 1.83652, 0.006018, 
0, 0.000203, 0.005463, 1.78937, 0.006314, 
0, 0.000222, 0.004981, 1.77515, 0.006444, 
0, 0.000204, 0.00537, 1.67024, 0.006278, 
0, 0.000574, 0.00987, 2.06932, 0.007519, 
0, 0.000222, 0.005667, 1.68289, 0.006611, 
0, 0.000204, 0.005333, 1.88348, 0.006537, 
0, 0.000278, 0.006704, 1.98159, 0.005592, 
1.6688, 0.000333, 0.005112, 3.36459, 0.006574, 
0, 0.000203, 0.005389, 3.55495, 0.006315, 
0, 0.000222, 0.004963, 3.50589, 0.007518, 
0, 0.000241, 0.024407, 3.16261, 0.006222, 
0, 0.000186, 0.006333, 3.59715, 0.007074, 
0, 0.000222, 0.005481, 3.57793, 0.007056, 
0, 0.000241, 0.006241, 6.40919, 0.006333, 
0, 0.000223, 0.005482, 3.41333, 0.006981, 
0, 0.000277, 0.006, 3.67632, 0.006314, 
2.71263, 0.000222, 0.006278, 5.28506, 0.006463, 
0, 0.000166, 0.005333, 3.69272, 0.007111, 
0, 0.000204, 0.005482, 3.47741, 0.006074, 
0, 0.000259, 0.005574, 3.92617, 0.005963, 
0, 0.000259, 0.005166, 3.76556, 0.005704, 
0, 0.000518, 0.006518, 3.38982, 0.006389, 
0, 0.000223, 0.005185, 3.48285, 0.020889, 
0, 0.000203, 0.006, 3.90428, 0.007, 
0, 0.000296, 0.005889, 4.42682, 0.006518, 
0, 0.000185, 0.005426, 3.47967, 0.006851, 
3.61765, 0.000444, 0.007574, 4.9745, 0.006185, 
0, 0.000186, 0.005297, 2.91407, 0.00726, 
0, 0.000223, 0.005334, 3.26615, 0.006222, 
0, 0.000278, 0.005204, 3.46509, 0.007167, 
0, 0.000241, 0.005407, 3.24154, 0.006149, 
0, 0.000277, 0.0055, 3.39904, 0.006685, 
0, 0.000185, 0.005111, 3.14106, 0.008204, 
0, 0.000222, 0.005611, 3.23678, 0.005426, 
0, 0.000296, 0.005574, 4.50459, 0.006407, 
0, 0.001, 0.006259, 5.25763, 0.006778, 
0, 0.000241, 0.031092, 5.0092, 0.008574, 
3.86826, 0.000426, 0.01287, 3.2528, 0.006334, 
0, 0.000278, 0.005982, 3.0367, 0.007482, 
0, 0.000259, 0.005537, 3.0482, 0.006, 
0, 0.000278, 0.004926, 2.90152, 0.006648, 
0, 0.000315, 0.005111, 3.02333, 0.006982, 
0, 0.000204, 0.005315, 2.93876, 0.008426, 
0, 0.000203, 0.007074, 3.76693, 0.006093, 
0, 0.000259, 0.005426, 3.21585, 0.006889, 
0, 0.000204, 0.005093, 3.12494, 0.006519, 
0, 0.000463, 0.008333, 3.33741, 0.009777, 
4.05913, 0.000241, 0.004963, 2.91032, 0.006629, 
0, 0.000203, 0.005352, 2.89759, 0.007463, 
0, 0.00024, 0.005351, 2.92876, 0.006537, 
0, 7.4e-05, 0.005019, 2.89068, 0.008259, 
0, 0.00026, 0.005407, 2.96585, 0.006852, 
0, 0.000204, 0.005093, 3.20513, 0.008204, 
0, 0.000278, 0.005463, 3.46233, 0.006907, 
0, 0.000166, 0.005371, 2.97204, 0.007629, 
0, 0.000315, 0.005833, 3.54515, 0.005741, 
6.07196, 0.000185, 0.008611, 3.49824, 0.006111, 
0, 0.000222, 0.005444, 3.4955, 0.006241, 
0, 0.000185, 0.006037, 3.214, 0.006537, 
0, 0.000222, 0.0055, 3.23626, 0.006593, 
0, 0.000204, 0.0055, 3.07615, 0.00676, 
0, 0.000185, 0.004982, 3.33348, 0.006796, 
0, 0.000241, 0.005204, 3.06737, 0.008148, 
0, 0.000666, 0.009037, 3.53902, 0.006741, 
0, 0.000259, 0.005833, 2.93676, 0.007741, 
0, 0.000278, 0.005574, 3.32569, 0.006778, 
0, 0.000815, 0.013056, 4.15426, 0.006334, 
5.48907, 0.000204, 0.00487, 3.26744, 0.006037, 
0, 0.000315, 0.006834, 3.74946, 0.006445, 
0, 0.000204, 0.005148, 3.20557, 0.006463, 
0, 0.000204, 0.004648, 3.30161, 0.006667, 
0, 0.000222, 0.005518, 3.68276, 0.006037, 
0, 0.000186, 0.00537, 3.18539, 0.01713, 
0, 0.00024, 0.005871, 3.75978, 0.007074, 
